,open,high,low,close,volume
2014-12-24,61.63,62.14,59.37,60.15,12080.0
2014-12-25,61.63,61.71,59.37,60.15,0.0
2014-12-26,60.19,61.71,59.21,59.46,7248.0
2014-12-29,59.65,60.43,57.37,57.98,14261.0
2014-12-30,57.93,58.39,56.74,57.51,0.0
2014-12-31,57.35,58.39,55.81,56.48,9066.0
2015-01-01,57.35,57.68,55.81,56.48,0.0
2015-01-02,58.02,58.54,55.48,56.51,16070.0
2015-01-05,56.25,56.51,52.66,53.15,16758.0
2015-01-06,53.2,56.3,50.52,50.9,17898.0
2015-01-07,51.15,51.02,51.02,51.02,0.0
2015-01-08,51.06,51.91,49.66,51.05,15599.0
2015-01-09,51.25,51.91,48.9,49.95,11220.0
2015-01-12,51.09,51.12,48.44,48.46,8800.0
2015-01-13,48.3,51.12,46.4,48.0,13909.0
2015-01-14,48.0,49.8,49.8,49.8,0.0
2015-01-15,49.6,52.42,46.78,48.36,19101.0
2015-01-16,48.25,52.42,48.07,48.37,840.0
2015-01-19,50.1,48.85,48.85,48.85,0.0
2015-01-20,48.91,50.35,47.78,48.17,17456.0
2015-01-21,48.29,49.59,47.78,48.75,16857.0
2015-01-22,48.6,50.45,48.02,49.0,24323.0
2015-01-23,49.11,50.45,48.02,48.55,20042.0
2015-01-26,48.56,49.29,47.57,48.11,25419.0
2015-01-27,48.25,49.99,47.57,49.26,32956.0
2015-01-28,49.1,49.99,47.67,48.65,30595.0
2015-01-29,48.69,49.72,48.29,49.05,24061.0
2015-01-30,49.15,53.08,48.37,52.95,41039.0
2015-02-02,52.68,55.62,51.41,54.27,46662.0
2015-02-03,55.0,59.0,51.41,57.0,31075.0
2015-02-04,57.19,59.0,53.5,54.54,28102.0
2015-02-05,54.8,58.06,53.07,56.89,27101.0
2015-02-06,56.74,59.06,53.07,58.16,22326.0
2015-02-09,57.93,59.61,57.3,57.85,17242.0
2015-02-10,57.79,59.61,56.11,56.92,12281.0
2015-02-11,58.15,58.15,55.16,56.3,0.0
2015-02-12,56.33,59.91,55.16,59.24,24655.0
2015-02-13,59.27,61.77,56.07,61.41,23744.0
2015-02-16,61.49,62.57,60.71,61.6,11917.0
2015-02-17,61.68,63.0,60.27,62.29,24307.0
2015-02-18,62.3,63.0,59.25,59.46,21859.0
2015-02-19,59.54,62.46,57.8,60.25,26156.0
2015-02-20,60.2,61.15,57.8,60.05,20804.0
2015-02-23,60.3,60.67,58.37,59.0,23779.0
2015-02-24,59.09,58.75,58.69,58.75,2.0
2015-02-25,58.75,60.3,58.1,59.15,6961.0
2015-02-26,61.85,62.63,59.15,60.14,19024.0
2015-02-27,60.75,62.83,59.66,62.48,20150.0
2015-03-02,62.5,60.0,59.99,59.99,1.0
2015-03-03,60.0,62.5,59.34,60.98,21696.0
2015-03-04,60.85,61.81,59.47,60.58,34500.0
2015-03-05,60.6,60.94,59.47,60.63,194.0
2015-03-06,60.75,61.3,59.17,59.86,14495.0
2015-03-09,59.62,60.02,58.38,58.61,12832.0
2015-03-10,58.37,60.02,56.12,56.42,13157.0
2015-03-11,56.93,59.26,56.35,58.22,13118.0
2015-03-12,58.23,59.15,56.75,57.18,16275.0
2015-03-13,57.25,57.6,54.75,54.89,17401.0
2015-03-16,54.66,55.01,52.65,54.15,18188.0
2015-03-17,54.1,55.01,52.57,53.3,15149.0
2015-03-18,53.28,56.84,52.57,56.27,17342.0
2015-03-19,56.18,56.27,53.91,54.46,15854.0
2015-03-20,54.46,55.67,53.55,55.22,14110.0
2015-03-23,55.24,56.19,54.12,55.89,15058.0
2015-03-24,55.83,56.79,54.12,55.31,16216.0
2015-03-25,55.09,56.79,54.7,55.52,7965.0
2015-03-26,56.35,59.78,55.52,58.86,22936.0
2015-03-27,58.97,59.78,55.95,56.12,17880.0
2015-03-30,55.96,56.65,55.2,56.56,17017.0
2015-03-31,56.31,56.65,54.72,55.1,18812.0
2015-04-01,55.18,57.69,54.7,56.67,18550.0
2015-04-02,56.72,57.28,54.0,55.13,25141.0
2015-04-03,56.72,57.28,54.0,55.13,0.0
2015-04-06,55.18,58.24,55.08,57.95,15189.0
2015-04-07,57.8,58.82,55.08,58.7,8561.0
2015-04-08,58.3,58.72,55.45,56.1,15946.0
2015-04-09,57.3,59.16,56.1,57.92,13405.0
2015-04-10,57.88,59.18,57.33,59.1,12401.0
2015-04-13,59.08,60.59,58.56,59.05,15673.0
2015-04-14,59.14,60.44,58.95,60.17,15480.0
2015-04-15,60.06,63.47,60.03,62.71,20989.0
2015-04-16,62.9,64.95,60.03,63.94,20513.0
2015-04-17,64.02,64.95,62.0,63.72,14916.0
2015-04-20,63.85,64.4,62.1,63.48,15681.0
2015-04-21,63.52,64.4,62.1,62.82,9718.0
2015-04-22,61.9,63.52,61.39,62.85,14745.0
2015-04-23,62.88,65.58,62.22,64.75,18797.0
2015-04-24,64.75,65.8,64.48,65.49,15125.0
2015-04-27,65.47,65.61,64.4,64.65,12256.0
2015-04-28,64.74,65.61,63.9,64.57,12978.0
2015-04-29,64.64,66.72,63.9,65.6,13936.0
2015-04-30,65.63,66.93,65.37,66.8,15071.0
2015-05-01,66.78,66.93,65.37,66.51,12904.0
2015-05-04,66.4,67.1,65.95,66.33,9409.0
2015-05-05,66.33,68.4,66.14,67.57,13643.0
2015-05-06,67.71,69.63,66.14,67.45,15552.0
2015-05-07,67.37,69.63,65.17,65.63,16593.0
2015-05-08,65.64,68.49,64.23,64.66,7621.0
2015-05-11,65.37,65.75,64.25,64.77,10886.0
2015-05-12,64.77,67.46,64.68,67.37,9433.0
2015-05-13,67.32,68.17,64.68,66.51,4876.0
2015-05-14,67.03,67.82,66.26,66.65,12129.0
2015-05-15,66.75,67.82,65.37,66.86,12885.0
2015-05-18,66.91,67.88,65.92,66.3,12721.0
2015-05-19,66.19,66.39,63.95,64.45,13571.0
2015-05-20,64.49,66.39,63.95,64.96,16995.0
2015-05-21,64.89,66.88,64.1,66.48,21289.0
2015-05-22,66.59,66.64,65.1,65.57,15094.0
2015-05-25,65.56,66.22,64.72,65.9,7640.0
2015-05-26,65.7,66.22,63.29,63.89,20325.0
2015-05-27,63.89,65.7,61.96,62.25,24650.0
2015-05-28,62.2,64.67,61.24,62.85,24569.0
2015-05-29,62.89,65.83,61.24,65.45,28712.0
2015-06-01,65.59,65.8,64.25,64.98,21290.0
2015-06-02,64.9,65.88,64.58,65.57,18666.0
2015-06-03,65.38,65.57,63.5,63.72,25258.0
2015-06-04,63.81,65.4,61.78,62.1,23716.0
2015-06-05,62.08,63.43,60.94,63.23,25506.0
2015-06-08,63.06,63.38,62.47,62.68,17551.0
2015-06-09,63.22,65.79,62.68,65.72,16129.0
2015-06-10,65.8,66.94,63.22,66.09,19542.0
2015-06-11,66.11,66.71,65.2,65.47,18829.0
2015-06-12,65.5,66.71,64.52,64.52,21883.0
2015-06-15,64.37,64.76,63.37,63.94,22098.0
2015-06-16,63.8,64.41,63.42,63.67,25005.0
2015-06-17,63.6,65.47,62.6,63.7,32819.0
2015-06-18,63.74,65.47,62.6,64.34,21774.0
2015-06-19,64.2,64.96,62.34,62.75,20094.0
2015-06-22,62.57,63.74,62.1,63.25,25145.0
2015-06-23,63.21,64.89,62.76,64.53,24329.0
2015-06-24,64.66,65.05,62.76,63.58,26755.0
2015-06-25,63.5,65.05,62.72,63.23,20024.0
2015-06-26,63.34,63.62,62.5,63.05,18756.0
2015-06-29,62.85,62.96,61.35,61.99,14293.0
2015-06-30,61.77,63.83,61.35,63.14,12248.0
2015-07-01,63.02,63.35,61.84,62.02,13195.0
2015-07-02,61.92,63.2,61.75,61.75,11274.0
2015-07-03,61.73,63.2,60.12,60.55,7602.0
2015-07-06,60.0,60.0,56.38,56.64,17393.0
2015-07-07,56.85,60.0,55.1,57.49,16468.0
2015-07-08,57.25,57.83,55.1,57.23,14625.0
2015-07-09,57.1,59.27,55.87,58.54,13837.0
2015-07-10,58.49,59.66,57.01,58.72,9612.0
2015-07-13,58.59,59.14,57.16,58.14,12567.0
2015-07-14,58.05,58.98,56.75,58.94,35764.0
2015-07-15,58.8,58.98,56.92,57.37,28836.0
2015-07-16,57.36,58.0,56.86,56.95,27856.0
2015-07-17,56.93,57.35,56.4,57.1,24395.0
2015-07-20,57.12,57.44,56.33,56.54,26165.0
2015-07-21,56.55,57.44,56.33,56.98,20128.0
2015-07-22,56.88,57.44,55.92,56.09,25229.0
2015-07-23,56.04,56.9,55.1,55.41,27668.0
2015-07-24,55.39,56.53,54.3,54.56,27174.0
2015-07-27,54.45,54.89,52.83,52.96,26726.0
2015-07-28,53.08,54.89,52.28,52.98,30667.0
2015-07-29,52.99,54.33,52.28,53.55,15292.0
2015-07-30,53.6,54.38,52.51,53.38,13993.0
2015-07-31,53.43,54.38,51.63,51.85,14282.0
2015-08-03,51.55,52.01,49.36,49.59,38814.0
2015-08-04,49.7,52.01,49.36,50.28,27215.0
2015-08-05,50.14,50.99,49.02,49.72,27618.0
2015-08-06,49.72,50.99,48.88,49.59,26338.0
2015-08-07,49.62,50.06,48.42,48.49,22113.0
2015-08-10,48.43,50.49,48.24,50.25,24122.0
2015-08-11,50.22,51.1,48.24,49.31,25151.0
2015-08-12,49.38,51.1,48.61,49.71,17398.0
2015-08-13,50.38,50.83,49.25,49.65,29396.0
2015-08-14,49.48,50.83,48.65,48.77,25111.0
2015-08-17,48.76,49.44,48.35,48.57,26286.0
2015-08-18,48.55,49.44,48.25,48.65,20229.0
2015-08-19,48.5,49.11,46.78,46.88,27507.0
2015-08-20,47.03,49.11,46.03,46.25,28276.0
2015-08-21,46.34,47.38,45.07,45.43,29224.0
2015-08-24,45.35,46.33,42.23,42.45,36925.0
2015-08-25,42.79,45.46,42.23,43.5,31320.0
2015-08-26,43.32,44.5,42.68,43.64,30359.0
2015-08-27,43.75,47.75,42.81,47.4,40344.0
2015-08-28,47.4,50.98,43.7,49.93,54405.0
2015-08-31,50.05,50.05,48.25,49.06,19127.0
2015-09-01,52.92,53.47,48.47,48.64,51030.0
2015-09-02,48.62,53.47,47.74,50.47,51600.0
2015-09-03,50.58,52.46,47.74,50.6,38872.0
2015-09-04,50.69,52.46,49.25,49.29,32205.0
2015-09-07,49.27,49.44,47.5,47.76,17289.0
2015-09-08,47.76,49.85,47.5,49.31,33038.0
2015-09-09,49.39,50.04,47.32,47.44,26982.0
2015-09-10,47.46,50.04,46.76,48.01,16863.0
2015-09-11,49.6,49.94,46.76,49.08,18595.0
2015-09-14,49.0,49.25,48.33,48.83,4382.0
2015-09-15,47.6,48.83,47.01,48.12,30793.0
2015-09-16,48.06,50.34,47.01,49.98,31016.0
2015-09-17,49.98,50.34,47.71,49.35,34921.0
