,name,net_profit,net_assets,good_will,good_will_ratio,industry,ipo_date
300409.XSHE,道氏技术,5.0813,24.0406,4.631,19.2633,化工I,2014-12-03
300456.XSHE,耐威科技,1.9493,32.6062,6.2722,19.2363,国防军工I,2015-05-14
300166.XSHE,东方国信,9.6559,53.3385,10.244,19.2057,计算机I,2011-01-25
300444.XSHE,双杰电气,0.1361,17.3143,3.2968,19.0411,电气设备I,2015-04-23
300075.XSHE,数字政通,0.063,23.3171,4.4109,18.9169,计算机I,2010-04-27
300596.XSHE,利安隆,9.3639,18.9636,3.5345,18.6382,化工I,2017-01-19
300086.XSHE,康芝药业,-0.1624,16.7597,3.1043,18.5223,医药生物I,2010-05-26
300069.XSHE,金利华电,0.3808,3.6446,0.6691,18.3599,电气设备I,2010-04-21
300261.XSHE,雅本化学,4.8637,20.3134,3.7269,18.3468,化工I,2011-09-06
300195.XSHE,长荣股份,2.0831,37.0665,6.7926,18.3256,机械设备I,2011-03-29
300081.XSHE,恒信东方,5.4322,26.7504,4.8608,18.1711,通信I,2010-05-20
300381.XSHE,溢多利,5.8392,26.2744,4.7689,18.1504,医药生物I,2014-01-28
300133.XSHE,华策影视,8.2844,70.0824,12.7112,18.1374,传媒I,2010-10-26
300194.XSHE,福安药业,7.2784,39.2275,7.0972,18.0925,医药生物I,2011-03-22
300647.XSHE,超频三,0.2111,6.0974,1.0931,17.9269,电子I,2017-05-03
300045.XSHE,华力创通,2.1117,19.0376,3.369,17.6964,计算机I,2010-01-20
300342.XSHE,天银机电,2.9596,13.8669,2.4325,17.5416,家用电器I,2012-07-26
300298.XSHE,三诺生物,8.3642,26.6302,4.6643,17.515,医药生物I,2012-03-19
300325.XSHE,德威新材,-0.8466,16.035,2.8063,17.5012,化工I,2012-06-01
300620.XSHE,光库科技,2.4514,6.2822,1.0986,17.487,通信I,2017-03-10
300558.XSHE,贝达药业,10.9913,23.8077,4.1358,17.3718,医药生物I,2016-11-07
300201.XSHE,海伦哲,1.8818,16.4008,2.8284,17.2452,机械设备I,2011-04-07
300294.XSHE,博雅生物,11.0081,38.7754,6.6384,17.1202,医药生物I,2012-03-08
300254.XSHE,仟源医药,0.0398,9.6294,1.6466,17.1001,医药生物I,2011-08-19
300065.XSHE,海兰信,2.7656,17.806,3.0223,16.9737,国防军工I,2010-03-26
300495.XSHE,美尚生态,5.7775,43.2455,7.3247,16.9375,建筑装饰I,2015-12-22
300335.XSHE,迪森股份,4.8384,18.2615,3.0512,16.7084,公用事业I,2012-07-10
300731.XSHE,科创新源,2.2423,5.586,0.9325,16.6931,化工I,2017-12-08
300266.XSHE,兴源环境,3.6221,28.3053,4.6357,16.3775,公用事业I,2011-09-27
300246.XSHE,宝莱特,3.0814,5.7636,0.9388,16.2892,医药生物I,2011-07-19
300624.XSHE,万兴科技,3.3989,6.9049,1.1162,16.1653,计算机I,2018-01-18
300007.XSHE,汉威科技,4.5323,21.7558,3.4725,15.9613,机械设备I,2009-10-30
300319.XSHE,麦捷科技,5.2175,21.6761,3.4596,15.9605,电子I,2012-05-23
300741.XSHE,华宝股份,27.0238,74.8954,11.9455,15.9496,食品饮料I,2018-03-01
300112.XSHE,万讯自控,2.7983,10.0585,1.5848,15.7562,机械设备I,2010-08-27
300260.XSHE,新莱应材,1.7326,7.646,1.2032,15.7364,机械设备I,2011-09-06
300683.XSHE,海特生物,1.2023,17.6713,2.7764,15.7113,医药生物I,2017-08-08
300177.XSHE,中海达,1.1137,22.927,3.5798,15.6138,计算机I,2011-02-15
300203.XSHE,聚光科技,16.2957,47.705,7.4424,15.6008,公用事业I,2011-04-15
300147.XSHE,香雪制药,5.3267,41.5705,6.4467,15.5078,医药生物I,2010-12-15
300710.XSHE,万隆光电,0.2871,6.3725,0.9879,15.5028,通信I,2017-10-19
300124.XSHE,汇川技术,28.1662,74.715,11.5414,15.4472,电气设备I,2010-09-28
300137.XSHE,先河环保,7.8184,20.2161,3.1065,15.3665,公用事业I,2010-11-05
300406.XSHE,九强生物,8.5914,18.5214,2.818,15.2149,医药生物I,2014-10-30
300662.XSHE,科锐国际,6.0288,9.459,1.4387,15.2095,休闲服务I,2017-06-08
300460.XSHE,惠伦晶体,0.2844,6.5946,0.9986,15.143,电子I,2015-05-15
300548.XSHE,博创科技,0.1432,6.1612,0.9258,15.026,通信I,2016-10-12
300686.XSHE,智动力,3.2776,8.2083,1.2242,14.9137,电子I,2017-08-04
300034.XSHE,钢研高纳,4.9745,22.1973,3.2009,14.4202,国防军工I,2009-12-25
300237.XSHE,美晨生态,-0.958,37.5904,5.3871,14.331,建筑装饰I,2011-06-29
300232.XSHE,洲明科技,15.2083,30.6003,4.3646,14.2632,电子I,2011-06-22
300059.XSHE,东方财富,52.3751,207.7701,29.5395,14.2174,传媒I,2010-03-19
300369.XSHE,绿盟科技,3.2274,31.1302,4.2195,13.5544,计算机I,2014-01-29
300411.XSHE,金盾股份,13.9332,16.3086,2.2026,13.5057,机械设备I,2014-12-31
300161.XSHE,华中数控,-3.9092,12.4541,1.682,13.5052,机械设备I,2011-01-13
300358.XSHE,楚天科技,-0.2331,23.9551,3.2185,13.4357,医药生物I,2014-01-21
300334.XSHE,津膜科技,-8.5921,16.5041,2.2065,13.3693,公用事业I,2012-07-05
300272.XSHE,开能健康,3.4268,12.2188,1.6227,13.2807,家用电器I,2011-11-02
300174.XSHE,元力股份,2.9526,8.4788,1.1124,13.1197,化工I,2011-02-01
300037.XSHE,新宙邦,10.5912,31.3532,4.1076,13.1011,化工I,2010-01-08
300173.XSHE,智慧松德,-0.1463,8.4845,1.1106,13.09,机械设备I,2011-02-01
300253.XSHE,卫宁健康,10.6232,36.4318,4.749,13.0352,计算机I,2011-08-18
300197.XSHE,铁汉生态,0.6706,70.4302,9.1054,12.9282,建筑装饰I,2011-03-29
300026.XSHE,红日药业,16.7298,71.9687,9.224,12.8166,医药生物I,2009-10-30
300252.XSHE,金信诺,1.1522,25.5518,3.2327,12.6516,通信I,2011-08-18
300571.XSHE,平治信息,10.7173,7.3081,0.8867,12.1328,通信I,2016-12-13
300136.XSHE,信维通信,46.0618,45.502,5.4547,11.9877,电子I,2010-11-05
300328.XSHE,宜安科技,1.7354,14.1961,1.7002,11.9768,有色金属I,2012-06-19
300284.XSHE,苏交科,20.1971,48.3796,5.7784,11.9438,建筑装饰I,2012-01-10
300412.XSHE,迦南科技,1.7961,8.4215,1.0051,11.9353,机械设备I,2014-12-31
300593.XSHE,新雷能,2.4679,8.0069,0.9511,11.8789,电气设备I,2017-01-13
300429.XSHE,强力新材,4.2061,17.1404,2.026,11.82,化工I,2015-03-24
300591.XSHE,万里马,-0.0869,5.3656,0.6336,11.8089,纺织服装I,2017-01-10
300384.XSHE,三联虹普,4.6664,18.2865,2.1532,11.7747,建筑装饰I,2014-08-01
300320.XSHE,海达股份,5.3243,16.5649,1.9417,11.7216,化工I,2012-06-01
